id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,year,ml
163269,"Oddero, Barolo",Oddero,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,2015,750
149457,Gray Fox 1340 Second Edition Chardonnay,Gray Fox Vineyards,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN1,2013,750
149615,Chateau Ferrande Rouge,Chateau Ferrande  Grand Cru Class,France,Bordeaux,Graves,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,2015,750
163668,Oristan Crianza,Bodegas Lozano,Spain,La Mancha,,,,Tempranillo,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,2014,750
164495,Veuve du Vernay Ice,CASTEL Groupe CASTEL,France,,,,,Airen,Ugni​ blanc,,,,,,,,,,,Sparkling,Appetizer,11,6~8,SWEET1,ACIDITY3,BODY2,TANNIN1,0,750
141896,"Casanuova della Cerbaie, Brunello di Montalcino",Casanuova della Cerbaie,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,1998,750
143776,"Carpineto, Dogajolo Rosso",Carpineto,Italy,Toscana,,,,Sangiovese,Cabernet Sauvignon,Etc,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN2,2018,750
159041,Pinino Brunello di Montalcino,Pinino,Italy,Toscana,Montalcino,,,Sangiovese Grosso,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,2008,750
146335,"Dugat Py, Gevrey Chambertin 'Coeur de Roy'",Domaine Bernard Dugat Py,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,2010,750
148812,Gesellmann Op Eximium Cuvee No.19,Gesellmann,Austria,Burgenland,,,,Blaufrankisch,St. Laurent,Zweigelt,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,2006,750
140809,"Errazuriz, Max Reserva Cabernet Sauvignon",Vina Errazuriz,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,Syrah & Shiraz,Carmenere,,,,,,,,,,Red,Table,14~15,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,2014,750
154191,"Bisci, Verdicchio di Matelica Passito",Bisci,Italy,Marche,,,,Verdicchio Bianco,,,,,,,,,,,,White,Table,15.5,6~8,SWEET5,ACIDITY3,BODY5,TANNIN1,2006,375
164531,"Arietta, Merlot Hudson Vineyards",Arietta,USA,California,Napa County,Napa Valley,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,2015,750
156979,"Fritz Zimmer, Riesling Kabinett",Fritz Zimmer,Germany,MoselSaarRuwer,,,,Riesling,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY5,BODY1,TANNIN1,2019,750
150240,Aurelius,Union de Producteurs de SaintEmilion,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,2005,750
159767,"De Martino, Legado Reserva Chardonnay",De Martino,Chile,Coquimbo,Limari Valley,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN1,2017,750
161960,"Aaldering, Chardonnay",Aaldering Vineyards  Wines,the Republic of South Africa,Coastal Region,Stellenbosch,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN1,2015,750
165693,"Louis Max Sud, Le Belle Vie",Louis Max,France,Southern France,Languedoc Roussillon,,,Pinot Noir,Syrah & Shiraz,Chardonnay,,,,,,,,,,Red,Table,13~14,8~10,SWEET1,ACIDITY4,BODY3,TANNIN2,2016,750
139131,"Delor, Cabernet Sauvignon",Delor by CVBG,France,Cabernet Sauvignon,,,,,,,,,,,,,,,,Red,Table,13,17~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2003,750
140371,Chateau Fongiras,Producta,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,2007,750
165131,"Scala Dei, Cartoixa",Codorniu,Spain,Catalunya,Priorat,,,Grenache,Carinena,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,2016,750
155446,"Vicente Gandia, David Bowie Shiraz",Vicente Gandia,Spain,Valencia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,15~17,SWEET2,ACIDITY3,BODY3,TANNIN3,0,0
155581,Bodegas Palacio Milflores,Bodegas Palacio,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2013,750
153032,Dauphin de Grand Puy Ducasse,Chateau Grand Puy Ducasse Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,2007,750
143297,"Seresin, Momo Sauvignon Blanc",Seresin Estate,New Zealand,South Island,Marlborough,,,Sauvignon blanc,Semillon,,,,,,,,,,,White,"Appetizer, Table",,,SWEET1,ACIDITY4,BODY3,TANNIN1,2008,750
142183,"Terra Dacica, Merlot Reserva",Terra Dacica,Romania,,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,2003,750
167420,"Les Parcellaire de Saulx, Gevrey Chambertin 1er cru 'Les Corbeaux'",Les Parcellaires de Saulx,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,2018,750
155873,Mounts Cabernet Sauvignon Clone 337,Mounts Family Vineyards,USA,California,Sonoma County,Dry Creek Valley,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,15.2,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,2011,750
163752,"Balthasar Ress, Riesling Auslese Tube 100ml	",Balthasar Ress,Germany,Rheingau,,,,Riesling,,,,,,,,,,,,White,Table,,,SWEET3,ACIDITY5,BODY3,TANNIN1,2005,100
163639,"The Hilt, Vanguard Pinot Noir",The Hilt,USA,California,Santa Barbara County,Santa Rita Hills,,Pinot Noir,,,,,,,,,,,,Red,Table,14.1,14~16,SWEET1,ACIDITY3,BODY3,TANNIN2,2015,750
146472,Katnook Founder's Block Shiraz,Katnook Estate,Australia,South Australia,Coonawarra,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,2016,750
153178,"Domaine Matrot, Saint Romain ",Domain Matrot,France,Bourgogne,Cote de Beaune,SaintRomain,,Chardonnay,,,,,,,,,,,,White,"Appetizer, Table",,,SWEET1,ACIDITY4,BODY3,TANNIN1,2018,750
156399,Berberana Reserva seleccion Oro,Bodegas Berberana,Spain,,,,,Tempranillo,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2011,750
166890,"Meo Camuzet, Nuits Saint Georges 1er Cru",Domaine Meo Camuzet,France,Bourgogne,Cote de Nuits,NuitsStGeorges,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,2017,750
138798,"Champagne Henriot, Brut Millesime",Champagne Henriot,France,Champagne,,,,Pinot Noir,Chardonnay,,,,,,,,,,,Sparkling,"Appetizer, Table",12~13,6~8,SWEET1,ACIDITY5,BODY4,TANNIN1,2008,750
162173,Chateau les Grands Marechaux,Chateau les Marechaux,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,2011,750
152800,"Sanama, Chardonnay",Sanama,Chile,Rapel Valley,,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN1,2014,750
162513,"Casal Garcia, Vinho Verde Sparkling White",Aveleda,Portugal,Vinho Verde,,,,Loureiro,Arinto,,,,,,,,,,,Sparkling,"Appetizer, Table",11~12,6~8,SWEET2,ACIDITY4,BODY2,TANNIN1,0,750
151961,Baile Bravo Sweet White,Bodegas Milenium SL,Spain,Ribeiro,,,,Blend,,,,,,,,,,,,White,"Appetizer, Dessert",11,10~12,SWEET5,ACIDITY2,BODY1,TANNIN1,0,750
168135,"Bella Vineyards, Petite Sirah",Bella Vineyards,USA,California,Sonoma County,Sonoma Coast,,Petite Sirah,,,,,,,,,,,,Red,Table,15~16,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,2015,750
162401,"Paul Hobbs, Russian River Valley Pinot Noir",Paul Hobbs,USA,California,Sonoma County,,,Pinot Noir,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,2016,750
168607,"Marchand Tawse, Charmes Chambertin",Marchand Tawse,France,Bourgogne,Cote de Nuits,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,2018,750
162168,"Mathis, Uberblend",Mathis Winery,USA,California,Sonoma County,Sonoma Valley,,Petite Sirah,Grenache,Carignan,Alicante Bouschet,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN3,2013,750
146687,Tesco French White,Val Dorbieu,France,Southern France,Languedoc Roussillon,Ugni blanc,,Bourboulenc,Colombard,,,,,,,,,,,White,Table,11.5,16~18,SWEET1,ACIDITY3,BODY2,TANNIN1,0,750
157448,Splendid Sparkling Extra Dry,Josef Drathen,Germany,MoselSaarRuwer,,,,Riesling,,,,,,,,,,,,Sparkling,Appetizer,12,6~8,SWEET1,ACIDITY5,BODY3,TANNIN1,0,750
145275,Chateau Desmirail,Chateau Desmirail Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,2017,750
161128,Clemens Busch Marienburg 1 Lage Beerenauslese,Clemens Busch,Germany,MoselSaarRuwer,Bereich Bernkastel,,,Riesling,,,,,,,,,,,,White,Dessert,,,SWEET5,ACIDITY3,BODY5,TANNIN1,2018,750
155593,"Atalon, Puilines Cuvee",Atalon,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.7,18~19,SWEET1,ACIDITY3,BODY4,TANNIN5,2011,750
140001,"Ciacci Piccolomini d'Aragona, Montecucco",Ciacci Piccolomini dAragona,Italy,Toscana,Maremma,,,,,,,,,,,,,,,,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2006,750
165366,"Stemberger, Vitovska",Stemberger,Slovenia,Kras Kras,,,,Vitovska,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN1,2016,750
148948,"Comte Georges de Vogue, Bonnes Mares Grand Cru",Domaine Comte Georges de Vogue,France,Bourgogne,Cote de Nuits,MoreyStDenis,,Pinot Noir,,,,,,,,,,,,Red,Table,13,15~16,SWEET1,ACIDITY4,BODY4,TANNIN3,2001,750
165732,"Montgras, Aura Chardonnay",Vina Montgras,Chile,Central Valley,,,,Chardonnay,,,,,,,,,,,,White,Table,12~13,8~10,SWEET1,ACIDITY3,BODY2,TANNIN1,2018,750
137873,Labastide Dauzac,Chateau Dauzac Grand Cru Classe5th Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,2016,750
161906,"Cantine Povero, Moscato d'Asti 'Campo del Palio'",Cantine Povero,Italy,Piemonte,Asti,,,Moscato,,,,,,,,,,,,White,Dessert,5.5,6~8,SWEET4,ACIDITY2,BODY2,TANNIN1,2017,750
146979,"Tosti, Moscato d'Asti  ",Tosti,Italy,Piemonte,Asti,,,Moscato,,,,,,,,,,,,White,"Table, Dessert",5.5,6~8,SWEET4,ACIDITY2,BODY2,TANNIN1,0,750
153830,"Querciabella, Mongrana Maremma Toscana Rosso",Querciabella,Italy,Toscana,Maremma,,,Sangiovese,Merlot,Cabernet Sauvignon,,,,,,,,,,Red,Table,13~14,17~19,SWEET1,ACIDITY3,BODY3,TANNIN3,2011,750
152172,"Assailly, Champagne Cuvee de Reserve Brut Blanc de Blancs Grand Cru ",Champagne AssaillyLeclaire  Fils,France,Champagne,Cote des Blancs,,,Chardonnay,,,,,,,,,,,,Sparkling,Table,,,SWEET1,ACIDITY5,BODY3,TANNIN1,0,375
151312,Domaine Charvin Cotes du Rhone,Domaine Charvin,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,2009,750
160301,Le Petit Lion de Leoville Las Cases,Chateau LeovilleLasCases Grand Cru Classe2nd Cru,France,Bordeaux,SaintJulien,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,2017,750
163138,"Stemberger, Robinia 'Orange Wine'",Stemberger,Slovenia,Laski Rizling,,,,Rebula,,,,,,,,,,,,White,Table,13,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,2013,750
153282,"Pierre Ferraud, CREMANT DE BOURGOGNE",Pierre Ferraud et Fils,France,Bourgogne,,,,Blend,,,,,,,,,,,,Sparkling,Table,,,SWEET1,ACIDITY5,BODY1,TANNIN1,0,750
168449,"Landmark, Overlook Chardonnay ",Landmark,USA,California,Sonoma County,,,Chardonnay,,,,,,,,,,,,White,"Appetizer, Table",14~15,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,2018,750
149887,"Icardi, La Rosa Selvatica Moscato d'Asti",Icardi,Italy,Piemonte,Asti,,,Moscato Bianco,,,,,,,,,,,,White,"Appetizer, Dessert",5~6,9~10,SWEET4,ACIDITY2,BODY3,TANNIN1,2016,750
154248,"Bibi Graetz, Soffocone di Vincigliata",Bibi Graetz  Testamatta,Italy,Toscana,,,,Sangiovese,Colorino,Canaiolo,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2016,750
154514,"Barone Ricasoli, Chianti del Barone Ricasoli",Barone Ricasoli,Italy,Toscana,Chianti,,,Sangiovese,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,2013,750
138474,"Armagnac de Montal, Exclusive VSOP",Armagnac de Montal,France,Armagnac,,,,,,,,,,,,,,,,,Dessert,,,SWEET1,ACIDITY1,BODY5,TANNIN1,0,750
146880,"Simonnet-Febvre, Chablis Grand Cru 'Les Clos'",SimonnetFebvre,France,Bourgogne,Chablis,,,Chardonnay,,,,,,,,,,,,White,Table,12.5~13.5,10~12,SWEET1,ACIDITY4,BODY3,TANNIN1,2012,750
153029,Chateau La Croix Saint-Estephe,Chateau Le Crock,France,Bordeaux,Saint Estephe,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN5,2006,750
148120,"L'accorde, Grand Reserve",Royal Wine Corp,USA,New York State,,,,Concord,,,,,,,,,,,,Red,Dessert,12~13,14~16,SWEET4,ACIDITY2,BODY2,TANNIN3,0,750
142825,"Simi, Merlot",Simi Winery,USA,California,Sonoma County,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2004,750
155243,Steinmuhle Huxelrebe Auslese,Weingut Steinmuhle,Germany,Rheinhessen,,,,Huxelrebe,,,,,,,,,,,,White,Dessert,,,SWEET4,ACIDITY2,BODY3,TANNIN1,2015,500
153953,"Au Bon Climat, Pinot noir",Au Bon Climat,USA,California,Santa Barbara County,,,Pinot Noir,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,2017,750
152241,"JAQK Cellars, Pearl Handle Chardonnay ",JAQK Cellars,USA,California,Napa County,Napa Valley,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN1,2008,750
167094,"Vina Terrapura, Reserva Merlot",Vina Terrapura,Chile,Curico Valley,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2018,750
152365,"Grant Burge, Meshach Shiraz ",Grant Burge,Australia,South Australia,Barossa Valley,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,2013,750
144341,"Domaine Jean Grivot, Nuits Saint Georges 1er Cru Les Boudots",Domaine Jean Grivot,France,Bourgogne,Cote de Nuits,NuitsStGeorges,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN2,2004,750
155794,"Robert Oatley, Signature Series Chardonnay",Robert Oatley,Australia,Western Australia,Margaret River,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN1,2013,750
137961,"Castello di Ama, Rosato",Castello di Ama,Italy,Toscana,,,,Sangiovese,Merlot,,,,,,,,,,,Rose,Table,13,11~13,SWEET1,ACIDITY3,BODY2,TANNIN1,2014,750
161516,Santa Margherita Prosecco Brut,Santa Margherita,Italy,Veneto,Valdobbiadene,,,Glera,,,,,,,,,,,,Sparkling,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN1,0,750
145547,Chateau Bergat,Borie Manoux,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,2007,750
145430,"Gager, Cablot",Gager,Austria,Burgenland,Mittelburgenland,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,2005,750
147671,"Misiones de Rengo, Cuvee Chardonnay",Vina Misiones de Rengo,Chile,Aconcagua,Casablanca Valley,,,Chardonnay,,,,,,,,,,,,White,Table,14,8~10,SWEET1,ACIDITY3,BODY3,TANNIN1,2009,750
149518,Binekhi Tsinandali,Vazi,Georgia,,,,,Rkatsiteli,Etc,,,,,,,,,,,White,Table,12,10~12,SWEET1,ACIDITY4,BODY2,TANNIN1,2007,750
161256,"Hardys, Limited Cellar Release, Shiraz",Hardys,Australia,South Australia,McLaren Vale,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,2017,750
158747,Cesari Boscarel,Cesari,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,Sangiovese,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,2016,750
148869,"Evergreen Vineyards, Spruce Goose Oregon Pinot Gris",Evergreen Vineyards,USA,Oregon,Willamette Valley,,,Pinot Gris,,,,,,,,,,,,White,Table,13.9,10~12,SWEET1,ACIDITY4,BODY3,TANNIN1,2006,750
146666,"Tabali, Reserva Especial Red Blend",Vina Tabali,Chile,Coquimbo,Limari Valley,,,Syrah & Shiraz,Cabernet Sauvignon,Merlot,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,2006,750
147257,Historical XIXth Century Wine,Chateau Palmer Grand Cru Classe3rd Cru,France,Bordeaux,,,,Blend,,,,,,,,,,,,Red,Table,13~14,14~18,SWEET1,ACIDITY3,BODY4,TANNIN1,0,750
155426,"Gancia, Prosecco",Gancia,Italy,Veneto,,,,Prosecco,,,,,,,,,,,,Sparkling,"Appetizer, Table",11~12,6~8,SWEET2,ACIDITY3,BODY3,TANNIN1,0,750
137954,"Campo Viejo, Viura",Campo Viejo,Spain,Rioja,,,,Viura,,,,,,,,,,,,White,Table,12.5,10~12,SWEET1,ACIDITY4,BODY2,TANNIN1,2004,750
144076,"Billecart Salmon, Blanc de Blancs",BillecartSalmon,France,Champagne,,,,Blend,,,,,,,,,,,,Sparkling,Appetizer,,,SWEET1,ACIDITY5,BODY3,TANNIN1,0,750
161911,Frank Cornelissen Munjebel Rosso MC,Frank Cornelissen,Italy,Sicilia,,,,Nerello Mascalese,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,0,0
166655,"Head, Red Shiraz",Head,Australia,South Australia,Barossa Valley,,,Syrah & Shiraz,Mataro,Touriga Nacional,Grenache,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY5,TANNIN4,2015,750
147971,"Bleasdale, Holdfast Chardonnay",Bleasdale,Australia,South Australia,Langhorne Creek,,,Chardonnay,,,,,,,,,,,,White,"Appetizer, Table",13.5,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,2009,750
151621,"Terramater, Mater",TerraMater,Chile,Maipo Valley,,,,Blend,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN5,2006,750
162734,"GCF, Fruits de Mer",GCF  GCF Group,France,Bordeaux,EntreDeuxMers,,,Sauvignon blanc,Etc,,,,,,,,,,,White,"Appetizer, Table",12~13,8~10,SWEET1,ACIDITY3,BODY2,TANNIN1,2018,750
152344,"Grant Burge, Benchmark Shiraz ",Grant Burge,Australia,South Australia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2019,750
149131,"Domaine Perrot Minot, Charmes Chambertin Grand Cru",Domaine Perrot Minot,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY4,TANNIN3,2007,750
149707,"Henschke, Lenswood Croft Chardonnay",Henschke,Australia,South Australia,Barossa Valley,,,Chardonnay,,,,,,,,,,,,White,Table,13,10~12,SWEET1,ACIDITY4,BODY4,TANNIN1,2010,750
156188,Canard Duchene Authentic Vintage,Canard Duchene,France,Champagne,,,,,,,,,,,,,,,,,Appetizer,12,6~8,SWEET1,ACIDITY5,BODY5,TANNIN1,2005,750
141184,"Crotta, Semi Sweet White",Crotta,Argentina,Mendoza,,,,Blend,,,,,,,,,,,,White,"Table, Dessert",13,8~10,SWEET3,ACIDITY2,BODY2,TANNIN1,2006,750
